Month,cpi_index,cpi_mom_growth
2020-11,100.0,0.0
2020-12,100.1,0.09999999999998899
2021-01,100.06,-0.039960039960029725
2021-02,101.58,1.5190885468718829
2021-03,101.31,-0.26580035440046945
2021-04,101.17,-0.13818971473694708
2021-05,101.33,0.1581496491054546
2021-06,101.52,0.18750616796605613
2021-07,101.64,0.11820330969267712
2021-08,101.89,0.24596615505705355
2021-09,101.63,-0.25517715183041023
2021-10,101.53,-0.09839614287119325
2021-11,101.85,0.3151777799665023
2021-12,101.96,0.10800196367206638
2022-01,102.15,0.18634758728914846
2022-02,103.17,0.9985315712187859
2022-03,103.88,0.6881845497722194
2022-04,103.95,0.06738544474393926
2022-05,104.33,0.36556036556036897
2022-06,104.98,0.6230230997795516
2022-07,105.42,0.4191274528481559
2022-08,105.65,0.218174919370151
2022-09,105.95,0.2839564600094713
2022-10,106.12,0.1604530438886309
2022-11,106.5,0.3580851865812251
2022-12,106.85,0.3286384976525669
2023-01,107.82,0.9078146934955456
2023-02,108.33,0.4730105731775236
2023-03,107.78,-0.5077079294747544
2023-04,107.41,-0.3432918908888527
2023-05,107.42,0.009310120100547437
2023-06,107.72,0.2792776019363119
2023-07,108.2,0.44559970293354123
2023-08,109.16,0.8872458410351225
2023-09,110.34,1.0809820447050367
2023-10,110.42,0.07250317201377143
2023-11,110.6,0.16301394674878011
2023-12,110.74,0.12658227848101333
2024-01,111.16,0.37926675094817064
2024-02,112.32,1.0435408420295111
2024-03,112.06,-0.23148148148147696
2024-04,112.14,0.07139032661074296
2024-05,112.2,0.05350454788657366
2024-06,112.38,0.16042780748661833
2024-07,112.92,0.480512546716505
2024-08,113.1,0.15940488841656997
2024-09,113.43,0.2917771883289344
2024-10,113.56,0.11460812836110446
2024-11,113.82,0.22895385699188697
2024-12,114.1,0.24600246002459691
2025-01,114.56,0.40315512708151147
2025-02,115.82,1.0998603351955127
2025-03,115.54,-0.241754446554987
2025-04,115.65,0.09520512376666179
2025-05,115.72,0.06052745352356226
2025-06,115.98,0.22468026270308084
2025-07,116.48,0.43110881186412264
2025-08,116.65,0.14594780219781
2025-09,116.98,0.28289755679382633
2025-10,117.15,0.14532398700632942
2025-11,117.4,0.21340162185232714
2025-12,117.65,0.2129471890971013
